review_clean_final,cluster_baseline,cluster_pso_kmeans,label_otomatis,label_topik
aplikasi sebelumnya lebih bagus ini pas mau masuk bayar pajak malah gak bisa di tinjau ulang kembali aplikasinya,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sebelum muncul update aman aja setelah muncul update terbaru malah blank layar putih,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sudah tidak ada pengurangan pajaknya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sebelum update ke versi terbaru aman saja tapi setelah update mau masukin data malah keterangan data kendaraan tidak ditemukan padahal saya cek melalui bot di aplikasi telegram data kendaraan saya ada,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sudah kali mengurus pembayaran pajak kendaraan lancar dan aman,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
aplikasinya sangat membantu dan memudahkan dalam melakukan jumlah pajak yang dibayarkan cuman kalau bisa ditambahkan menu untuk cetak dan nominal harga jasa kirim via pos dll pajaknya kerumah masyarakat pengalaman kami dan beberapa teman terkadang berbeda jumlah yang harus dibayarkan ketika hal nya disamsat offline walau menunjukkan jumlah yg harus dibayarkan via aplikasi ini,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi tdk jelas maunnya memberikan pelayanan yg baik ke masyarakat malah aplikasinnya sering eror katannya nik tdk sesuai apaan nik saya tdk salah tolong di perbaiki lagi,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mau nanyak ini admin apakah di aplikasi bappeda sulsel itu sdh pas pada saat kita membayar pajak atau beda klau kita datang langsung di samsat proses coba aplikasi nya semoga bagus,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
hapus saja ini aplikasitidak sesuai total pembayaran di aplikasi dan kantor samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
mau bayar pajak aja ribetnya minta ampun,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tolong ini knapa tdk bsa bayar online sya sdh isi data pembayaran pajak tpi tda bisa dgn alasan pembayran pajak dlm proses antrian di samsat sya coba byr di samsat keliling katanya harus di samsat sesuai kota nya motor sya wilyah makassar tp skrg tggl di luar makassar,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
cek pajak kendaraan motor listrik biaya sama aja motor bensin daerah lain pkb nya di sulsel rb swdkljj daerah lain rb di sulsel rb koq beda sih nda mendukung program pemerintah,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat rekomendasi u tuk pembayaran pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat menbantu saat ingin mengetahui besaran pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
ribet nik gk sesuai padahal dah sama stnk bpkb ktp belajar dulu sama sakpole baru bikin apps,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
kalau ke samsat bayarnya kenapa tidak sama yah sama biaya yang tertera,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
saya mau aktifkan lagi pajaknya tpi kalau sudah selesai bayar bagaimana caranya dapat ddnya yahh pakmohon dibantu bagaimana solusinya karena saya kurang mengerti,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi tdk dapat digunakandi sistem tulisnya salah nik pemilik kendaraansedangkan pemilik asli saya sendiri dan an saya sendirimau membuat keluhan di aplikasi yg sudah disediakan tetap gagal dikirimjdi kembali di zaman dmn kita membayar pajak di samsat dan dimana para oknum bisa bermain kembalihadew note tolong di bereskan kembali aplikasi ini agar dapat dipergunakan kembli oleh masyarakat dan meminimalisir peran oknum yg tdk bertanggungjawab dan mengatasnamakan instansi,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
error terus aplikasi gak jelas,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa sekarang tidak bisa digunakan lagi,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa tidak terdeteksi pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
aplikasinya bagus dan mudah dipahami terima kasih,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tadi saya cek di aplikasi total pajaknya rb setelah ke samsat pangkep totalnya jadi rb aplikasinya yang rusak atau oknum polisinya yang korup ini,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
apa nama aplikasinya klau cek kendaraan muncul nama pemilik dan alamatnya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
samsat tidak akurat sembarangan memberi keterangan,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
total bayar di aplikasi faktanya bayar di loket kenapa ada selisih ya antara aplikasi dan di kantor pelayanan jawaban petugasnya aplikasi bpk yg salah terima aja kami kan hanya rakyat entepetugaspelayanan,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
gayanaji ini aplikasi tidak bisa untuk data selalu gagal terhubung,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi sdh bagus untuk cek nominal pajak tpi tetap saja kena pungli rb d loket pembayaran samsat pas d tanya katanya uang tambahan k trus d tanya rinciannya malah blng klw gamau ya sdh terpaksa kena pungli rb,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
andalanku cek pajak kendaraan semoga makin bagus dan tidak ribet di gunakan,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
bagus sih cuma kok beda yaa pembayaran yg tertera di apk dgn yg di samsat gua kemarin apk samsatnya apa mmg ada biaya tambahan di samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
masih ada pungli di setiap pos dari pendaftaran sampai pengesahan pajak,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
apk nya kurang mendukung mau cek pajak gak bisa katanya kadaluwarsa harus ke kantor pilih kasi klo pajak mati lama gak bisa di cek padahal mau tau berapa total semua supaya bisa kumpulin uang kalo gini gak bisa kita cek padahal mau bayar tapi mau tau dlu berapa nasip motor tua gak bisa ke cek pajak nya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
jadi stelah bayar pajak di aplikasi ini bagaimana lagi cara mendapatkan stnk nya,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
jika wajib pajak mau bayar pajak di layani dengan baik dan dimudahkan dengan aplikasi yg tidak ribet jangan sampai seluruh warga negara tidak ada yg mau bayar giman,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi tidak bisa terbuka atau terbaca,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sederhana dan mudah digunakan kode pembayaran langsung dipakai di mobile banking tidak ada selisih dari cek pajak mantap,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mau cek pajak kendaraan aplikasi x eror pilihan untuk wilayah x tdk bisa ke buka tolong di perbaiki,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
aplikasi bapuk gk guna apknya pilih wilayah malah gk ada yg munculampas,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
memudahkan mengecek pajak kendaraan bermotor,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat membantu untuk cek pajak kendaraan bermotor,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
permasalahan sudah ditindaklanjuti dengan baik dan cepat sehingga saya sudah bisa menyelesaikan pembayaran pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
tak bisa bayar via gojek dan tokped doonk error mana besok jatuh tempo pula,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tolong di update aplikasinya sudah bapuk tidak bisa digunakan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
pungli jalan trus neraka buat kalian,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
setelah terupdate aplikasinya tdk bisa mengecek pajak terbaca gagal network error,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
motto apknya bapenda sulsel in your hand pas apknya dipake bermasalah mulu udah hari saya coba ga bisa mau bayar pajak malah disuruh ke kantor samsatnya langsung terus guna apk nya apa mau aduin keluhan juga ga bisa keluhan saya gagal terkirim apknya jadi pajangan doang,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
berulang kali mau lapor jual kendaraan lama berulng kali pula statusnya gagal terustadinya ke kantor samsat langsung mau laporkan tapi disuruh download dan lapor via aplikasi ini tapi hasilnya tetap zonksudah mengeluh pun tetap ga bisa pak via aplikasi ini dijawabnya fotonya mgkn trllau besar filenya ini sdhh diperkecil tetap gagal trus harus bagaimana,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
untuk balik nama dari kab maros ke kab takalar apakah memang ada biaya cabut berkas knpa di aplikasi gak di lampirkan semua biayanya sama oknum samsat di bikin pungli malas bawaannya bayar pajak gini coba sekalian cantumkan semua biaya di aplikasi gak usah lagi ada biaya luar jatuhnya ke pungli,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat membantu untuk cek nopolpajak kendaraan,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
percumaji ada aplikasi bginian jumlah yg harus dibayar yg tertera di aplikasi beda dgn yg dibayar di samsat terutama gerai samsat bone hidup pungli yeah,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
ceknya di sini sama bayar di samsat sllu selisih rb x bayar pajak mtr sy cek di sini dlu baru ke samsat psti beda rb lebih mahal itu knpa yaa,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
membantu sekali mengecek pajak dan dendanya bila sudah lambat tapi mendengar keluhan user di ulasan belum berani menggunakan menu bayar pajak lewat aplikasimenunggu kabar baik selanjutnya dari aplikasi bapenda sul sel,2,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kalau bisa ditingkatkan lagi agar ngurus apa tinggal upload berkas online,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
pas mau bayar pajak e samsat kenapa disuruh validasi nik di samsat maksudku kenapa ada syaratnya begini,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
tolong sertakan nama pemilik kendaraan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa tidak bisa melakukan pembayaran online harus validasi nik d samsat itu maksudnya bagaimana,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
kenapa aplikasinya tidak mau terbuka,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa mau bayar pajak slalu gagal perlu vakidasi nik padahal udah cocok niknya mending tdk usah bayar pajak mau bayar pajak online saja susah,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
mass data tidak ditemukan ap apaan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
bagus dan sangat berguna terimakasih,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
semoga dgn adanya aplikasi bisa memudahkan kita untuk mengecek pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
setelah membayar via online hari ini saya coba pergi untuk mencetak skpd di samsat kab bone tp pengurusnya ribet disuruh siapkan fotocopy ktp yg an di stnk buat surat kuasaa saya kira setelah bayar via online bisa langsung cetak aja itu skpdnya bgmn sebenarnya sop pemabayaran pajak kendaraan,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasinya sangat bagus tapi pelayanan disamsat burukbanyak pungli apalagi kendaraan bukan atas nama pribadi mau bayar pajak saja masih dipungli,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi tdk berfungsi network error terus tiap hari,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
cuma bisa cek biaya pajak mau coba bayar online tp nda bisa terus aplikasinya,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
keren ini aplikasi sudah bisa lapor jual kendaraan yang sdh dipindahtangankan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
aplikasi ini bisa membantu untuk mengecek pajak kendaraan dan jika mau beli kendaraan bekas bisa di cek platnya,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
perbaiki aplikasinya karena tdk bisa terbuka awal instal saja baek,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
bermanfaat sekali ini aplikasinya mantap,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
nintang biar ken aplikasi bgus,0,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sya sudah bayar lunas di samsat ko disini ga lunas malahan kena denda,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
skrg g bisa trbuka ada apa,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
alhamdulillah ada aplikasi bantu cek no plat sangat membantu skali untuk yg mau beli motor bekas supaya tidak terindikasi motor bodongcurian,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
bintang aplikasi membantu tau pjk kendaraan,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
apa apaan ini sudah bayar melalui tokped dan kode dari aplikasi ini tpi pas disamsat data tidak ditemukan dan belum terbayar hadehh buang uang saja klo kek gini di aplikasi tertera sudah terbayar sampai untuk pajak sedangkan di samsat tidak ada data yang terbaca dan harus bayar ulang hadehh bukan uang dikit ini gimana caranya klo mau refund,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
ad sedikit bermasalah dengan aplikasi in,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi ini sngat bagus saat ingin mengetahui estimasi pajak kendaraan andakeren,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
kenapa aplikasinya tidak bisa terbuka,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
apk bagus sangat membantu real deal cmn sayang oknum petugas samsatx masi baxk yg pungli samsat palopo sulsel,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
saya tidak bsa melakukan pendaftaran e samsat loading mulu,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
mantap app ini karena sangat membantu bagi wajib pajak dalam mengetahui berapa jumlah pajak yang harus dibayar,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
terima kasih pembayaran pajak kendaraan jd lebih muda,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
aplikasi sangat membantu untuk cek jumlah pajak kendaraan,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
aplikasi ini mendukung pembayaran stnk,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
pengurusan setelah pembayaran online harus difikirkan ulang bayar online malahan tambah banyak syarat administrasi yg harus disiapkan bukti pembayaran online harus dicetak seharusnya pilihan bayar online lebih mempermudah tapi ini malah makin rumit,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
mantap tawwa saat mau beli kendaraan seken kt bs ceek lgsg pajak kendaraan tersebut,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
apa disini bisa mengecek pajak mobil dari mamuju,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sy ko tdk bisa semenjak suda sy perbarui selalu data tdk di temukan padahal pajak aktif dan plat masi panjang ada selalu ngga ya trimah kasih,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi bagus sangat membantu terimah kasih saya kasi bintang,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
masa di aplikasi sama di samsat bedanya sampai ribuan sih waduh parah,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
keren sekali aplikasi ini aku bisa tau jumlah pembayaran pajak kendaraan,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat bagus dengan aplikasi ini,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
butuh apk ini bsa cek pajak jual beli motor,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
saya sering membayar pajak di kantor samsat tapi saya heran tidak sesuai dengan cek pajak di aplikasi ini biasanya lebih ribu jadi mohon solusinya kalauw nemukan polisi begitu,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
agak tdk bisa terbuka error,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi sangat membantu mudah digunakan respon cepat terbaik mmg sulsel ku,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kok nga bisa di cek yaa,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi semuanya eror tidak bisa digunakan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tidak bisa digunakan semua data kendaraan yang dimaksudkan tidak ditemukan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tdk bisa masuk masuk padahal biasa lansung masuk pas di aplikasinya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi top utk cek pkb akan lebih top bisa cek nasional,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
hanya saja tidak ada nama pemilik kendaraan semoga kedepan dilengkapi juga,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
fitur saran dan aduan nggk guna udah coba beberpa kali tetep nggk bsa ke krim skelas instansi apk nya gini,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
bikin sakit kepala harga di tapi pas ke kantor samsat kenyataannya,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
ini yg saya cari slma in,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tdk sesuai nilai pembayaran saat dikantor samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat mudah penggunaannya saya suka,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
hasil memuaskan untuk cek data pajak mobil dan motor kendaraan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
admin tolong penjelasannya sy bayar pajak sdah x percobaan gagal terus,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasinya sangat membantu mantap bapenda sul sel,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
saya senang sekali menggunakan aplikasi ini gampang dan mudah sekali digunakan serta sangat membantu saya dalam hal mengecek pajak kendaraan saya jatuh tempototal bayardan tempat bayarnya ada disini pokoknya aplikasinya lengkap sekali terima kasih tim bapenda prov sulsel,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
sangat bermanfaat dan membantu saya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mantap semoga layanan pajak di permudah lagi jangan dipersulit orang mau bayar pajak malah dimintaki surat kuasa segala macam di samsat jelas dokumen sudah lengkap,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat terbantu dengan aplikasi ini,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
data pendaftaran tdk bisa diproses katanya server error malah harus ke kantor samsat lagi malah mempersulit sama aja,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
jika skpd tidak dicetak tapi pajak sudah lunas apakah stnk itu masih tetap barlaku,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat membantu tp sangat di sayangkan berbeda di samsat cek di aplikasi pas mau bayar di mintai coba coba kupertanyakn kata petugasnya uang pengesahan,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
knapa sekarang tidak bisa cek biaya pajak kalau jatuh tempo pembayaran kalau tidak bisa dicek bahaya bisa dimainkan oknumoknum biayanya kalau tdk bisa dicek lagi,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasinya tidak bisa masuk ke menu payah,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mantap mengurangi pungli karena sudah ada total pajak yang diba,0,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
layanan yg mendukung pemerintahan bersih transparan dan sangat menolong masyarakat melawan praktekpraktek pungli yg masif dan sering terjadi di kantor samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi yang sangat memudahkan membayar pajak kendaraan saran saya yang mau bayar pajak manfaatkan fitur bayar via online saja jadi ke samsat hanya untuk pencetakan dan pengesahan stnk nya saja buat pengembang mohon ditambahkan lagi fitur ganti flat via aplikasi dan biaya ganti flat pembayarannya secara online saja buat pejabat dan petugas bapenda yang sudah bekerja dengan dedikasi dan kejujuran saya doakan panjang umur dan diberi kesehatan serta keluasan rezeki amin,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
apl terbaru ini sangat bagus karena sudah gampang mengaplikasikannya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
selalu perbaiki dan kembangakan aplikasi seperti agar akses pelayanan bagi masyarakat bisa lebih baik dan mudah,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat membantu walaupun baru aja sy download semoga lebh memudahkan lagi pengurusannya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat memudahkan bayar pajak motorkarena tdk antri biar malam kita bisa membayar,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sangat membantu tapi sayang tidak bisa didownload dan print sendiri pajaknya barunya jadi tidak perlu lagi ke samsat pengesahan stempel,1,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
saya sangat bersyukur atas adanya ini ini sungguh luar biasa sangat luar biasa sangat membantu,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
app nya bagus akhirnya bisa cek pajak kendaraan sendiri,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
mending g pake aplikasi ini sama aja ttp jg dtg dan antri di samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
alhamdulillah ngga ribet utk informasi tarifnya,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
berbeda di aplikasi secara rinci cuma nyatanya dilapangan harus bayar apa ada biaya tambah lagi,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
aplikasi ini cukup memuaskan bs cek pajak kendaraan jg,1,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
kenapa mesti harus ad aplikasi seperti ini jika memang pembayaran saat ke samsat berbeda pas di cek d aplikasi sampai d samsat dimintai sama petugas samsat saya bertanya kepetugas samsat katanya memang pak klu d aplikasi beda jdi buat ap harus dibuat aplikasi klu memang tidak sesuai pembayarannopol dd om,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
knp tdk bs melakukan pendaftaran e samsat,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
plat mobil sy tdk bisa terbaca,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangat membantu skalipun masih sering maintenance,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
cetak skpd onlinenya gimana aplikasinya bisa digunakan dan saya sudah bayar dd lg soalnya saya tinggal di palu sulteng,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
makasih sudah menyiapkan aplikasi yang sangat berguna cuma sayang mau pilih wilayah tapi tdk bisa muncul mohon solusinya status kode,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
sangan membantu utk pengecekan tapi saat bayar di samsat luwu malah kena pungli terus udah x beda ribu ribu bayarnya dengan aplikasi x ngotot sesuai aplikasi dijutekin pakpol dan disuruh fc berkas dll dan buat surat kuasa krn bukan an sendirikendaraan an nenek tapi udah tua dan katarak alhasil tahun gak dibayar dan motornya dipake ke kebun aja pernah juga x boong motor an sendiri padahal punya adek udah bawa ktp dll masih dipingpong sanasini dan gak dikasi plastik pula wkwk,0,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
kenapa tidak bisa muncul fitur pemilihan wilayannya mana tidak bisa di tulis manual akhirnya tidak guna ini aplikasi buat cek pajak motor,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasinya tidak bisa di gunakan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi erordisuruh pilih wilayah tapi tidak ada kolom untuk input wilayahpilihan wilayah juga tidak ditampilkan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
apk lagi eror kode,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kenapa lokasix tdk bisa muncul,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
untuk pemilihan lokasi selalu request error,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
error tdk bs klik wilayah,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi nya bagus hanya saja saat cek pajak kendaraan lama banget untuk pemilihan wilayah dan ketika udah lama malah jadi error tolong lebih diperbaiki lagi yaa,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasinya kok gak bisa berfungsi di hp saya ya nanti kalau sudah bisa berfungsi baru sya kasi bintang,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
knp aplikasinya ngga bisa buka wilayah eror mulu,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tidak bisa pilih wilayah ada keluar kode,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
pemilihan wilayah nggak bisa melalui map juga failed bug,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi sy tdk bisa terbuka,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
tidak bisa memasukkan lokasi wilayah,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
kok kota pilihan hilang atau tdk ada pilihan,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
mempermudah pengecekan pajak kendaraan mantap,0,1,kendaraan / pajak kendaraan / pajak / membantu,Informasi dan pengecekan pajak kendaraan
aplikasiya mantenance terus nda bisa di pake,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
gabisa dipake buat bayar loading ga selesai,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
sudah cukup bagus lebih tingkatkan lagi,1,2,membantu / cek / error / mantap,Pengalaman dan kinerja aplikasi
aplikasi yang sangat bagus memudahkan bagi yang ingin mengecek ataupun yang ingin bayar pajak,2,0,samsat / bayar / pajak / bayar pajak,Pembayaran dan layanan Samsat
